trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch
135,0.00032,0.65,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
136,0.00032,0.65,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
137,0.00032,0.65,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
138,0.00004,0.8,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
139,0.00004,0.8,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
140,0.00004,0.8,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
141,0.00008,0.8,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
142,0.00008,0.8,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
143,0.00008,0.8,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
144,0.00016,0.8,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
145,0.00016,0.8,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
146,0.00016,0.8,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
147,0.00032,0.8,128,100,4,2,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
148,0.00032,0.8,128,100,4,4,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
149,0.00032,0.8,128,100,4,8,0.1,64,comb_1,molar_nhoc,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
150,0.00004,0.2,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
151,0.00004,0.2,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
152,0.00004,0.2,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
153,0.00008,0.2,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
154,0.00008,0.2,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
155,0.00008,0.2,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
156,0.00016,0.2,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
